country_x,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,"GDP growth rate (annual %, const. 2005 prices)",Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Unemployment (% of labour force)
AE,0.6410632442236417,0.6249432316063402,-6.698941566122546,0.07372182398864442,0.22578493121204954,0.01827038296861446,0.16287456825171517,0.49721165523223715,3.8,44.9,54.4,3.7
AR,0.703740235440867,0.688996685171903,-5.89725824432837,0.08715964372027754,0.23774483234583302,0.01938952270172293,0.19104108521088328,0.6460767747719655,2.4,27.800000000000004,66.2,6.5
AT,0.664594837116312,0.6559902653965267,-6.8198180642126305,0.09084028774158141,0.22498647237053587,0.02573395020228155,0.170879160296366,0.5263101140773845,1.0,28.300000000000004,70.4,6.200000000000001
AU,0.6312790679398012,0.6218977405791977,-6.740300011788282,0.06528481276278046,0.2453705898070651,0.012999455019057722,0.16016155055208456,0.5127564698023498,2.4,26.5,71.1,5.5
BE,0.6570710107627515,0.6503615629386992,-6.730003899547652,0.07751662377164249,0.26320499688036186,0.034600282145141166,0.16116089533614103,0.5240106555139604,1.5,22.199999999999996,77.1,8.3
BG,0.699811720256602,0.7717200125939627,-5.357147191939863,0.10640270376638199,0.13527441064189855,0.012345426861741903,0.17433928135699947,0.6278763312212208,3.0,27.6,67.2,8.1
BO,0.7091134643121662,0.6980543102717031,-5.744071297703972,0.09436724749541964,0.2549550258449304,0.02126975389116283,0.1813990449460102,0.6279103765641446,4.8,31.0,56.5,3.8
BR,0.6804727754608878,0.7083501968273765,-4.905486962622287,0.1420730288030557,0.40439150648945704,0.00426738194839615,0.34031968273765445,0.6531165919632069,-3.8,22.7,72.0,12.4
BY,0.6945877621148815,0.6518571986411027,-6.678297551642001,0.11527789839509547,0.209337615357882,0.04657710563044243,0.19883563981412783,0.541448830489281,-3.8999999999999995,38.9,53.60000000000001,0.5
CA,0.630333214877991,0.605567638790176,-6.978949380083709,0.07257301192450447,0.2631407522151149,0.010945390835505015,0.16628788596699046,0.5001835406301824,0.9,28.600000000000005,69.6,7.099999999999999
