,country,x,y,cluster
0,South Africa,-8.069975,-0.17329638,0
1,Vietnam,-9.6834755,1.1517318,1
2,Venezuela,-10.173703,-0.56812984,1
3,Uruguay,-8.87773,-0.8582027,4
4,United States of America,-6.786278,-0.51932305,2
5,Ukraine,-6.8292336,0.2435947,0
6,Turkey,-7.16763,0.6963838,0
7,Thailand,-8.311523,1.1177098,3
8,El Salvador,-8.546144,-0.029556356,4
9,Slovakia,-7.8912387,1.7402632,3
10,Singapore,-7.69121,0.1643714,0
11,Sweden,-10.2404,-0.14725448,1
12,Saudi Arabia,-7.4784603,-1.3637635,2
13,Romania,-7.4263616,-0.95324594,2
14,Paraguay,-9.810685,-0.90660596,4
15,Portugal,-7.7312903,-0.5230805,0
16,Poland,-7.3667517,1.1623621,0
17,Pakistan,-8.257134,0.5896866,0
18,Philippines,-9.8508625,0.7573011,1
19,Peru,-8.96903,-0.5747482,4
20,Panama,-7.045737,1.3895009,0
21,New Zealand,-7.1352463,-1.1891875,2
22,Norway,-8.702742,1.8609468,3
23,Netherlands,-7.364497,-1.5323029,2
24,Nicaragua,-9.2819805,0.41815868,1
25,Nigeria,-7.498603,0.35935307,0
26,Malaysia,-9.529071,0.45438996,1
27,Mexico,-9.400515,-1.3947142,4
28,Morocco,-9.524932,0.8544365,1
29,Latvia,-6.7550097,-1.5127926,2
30,Luxembourg,-7.2531013,-1.6658211,2
31,Lithuania,-7.9176297,-1.2741389,2
32,Kazakhstan,-6.6238027,-0.9724167,2
33,"Korea, Republic of (South Korea)",-8.488297,1.6872284,3
34,Japan,-8.809285,1.1066265,3
35,Italy,-7.903182,2.216841,3
36,Iceland,-9.411375,0.89355004,1
37,India,-8.233191,1.8196298,3
38,Israel,-8.957261,1.9399269,3
39,Ireland,-7.2051096,-1.9001083,2
40,Indonesia,-8.0646925,1.2854373,3
41,Hungary,-8.653803,0.7708343,3
42,Honduras,-9.493433,-0.42828256,4
43,Guatemala,-9.718234,-1.0047526,4
44,Greece,-10.474982,0.14509204,1
45,France,-8.068369,2.4667351,3
46,Finland,-9.192622,-0.1933423,4
47,Spain,-9.008799,-0.86582834,4
48,Egypt,-8.9235935,0.42715868,1
49,Estonia,-6.880035,-1.3974986,2
50,Ecuador,-9.988764,-0.0147323245,1
51,Dominican Republic,-9.054362,-1.3102034,4
52,Denmark,-8.879751,1.3980993,3
53,Germany,-6.5921426,0.025776882,0
54,Czech Republic,-7.5503473,1.357591,3
55,Costa Rica,-9.2582655,-1.5295227,4
56,Colombia,-8.329024,0.2583317,0
57,Chile,-9.276765,-0.9829114,4
58,Switzerland,-7.564403,-1.9801732,2
59,Canada,-6.8784113,0.30673108,0
60,Belarus,-7.594963,2.1030128,3
61,Brazil,-8.422256,2.4793124,3
62,Bolivia,-7.4077797,0.63656676,0
63,Bulgaria,-8.648774,-1.1083978,4
64,Belgium,-9.5347,0.10445092,1
65,Australia,-6.6071525,-1.6657469,2
66,Austria,-7.9677463,0.53608656,0
67,Argentina,-8.577224,-0.6520549,4
68,United Arab Emirates,-10.109286,0.32411918,1
69,United Kingdom,-6.3456197,-1.396384,2
